lat,lon
-21.875, -41.125
-21.625, -58.875
-21.625, -58.625
-21.625, -58.375
-21.625, -58.125
-21.625, -57.875
-21.625, -57.625
-21.625, -57.375
-21.625, -57.125
-21.625, -56.875
-21.625, -56.625
-21.625, -56.375
-21.625, -56.125
-21.625, -55.875
-21.625, -55.625
-21.625, -55.375
-21.625, -55.125
-21.625, -54.875
-21.625, -54.625
-21.625, -54.375
-21.625, -54.125
-21.625, -53.875
-21.625, -53.625
-21.625, -53.375
-21.625, -53.125
-21.625, -52.875
-21.625, -52.625
-21.625, -52.375
-21.625, -52.125
-21.625, -51.875
-21.625, -51.625
-21.625, -51.375
-21.625, -51.125
-21.625, -50.875
-21.625, -50.625
-21.625, -50.375
-21.625, -50.125
-21.625, -49.875
-21.625, -49.625
-21.625, -49.375
-21.625, -49.125
-21.625, -48.875
-21.625, -48.625
-21.625, -48.375
-21.625, -48.125
-21.625, -47.875
-21.625, -47.625
-21.625, -47.375
-21.625, -47.125
-21.625, -46.875
-21.625, -46.625
-21.625, -46.375
-21.625, -46.125
-21.625, -45.875
-21.625, -45.625
-21.625, -45.375
-21.625, -45.125
-21.625, -44.875
-21.625, -44.625
-21.625, -44.375
-21.625, -44.125
-21.625, -43.875
-21.625, -43.625
-21.625, -43.375
-21.625, -43.125
-21.625, -42.875
-21.625, -42.625
-21.625, -42.375
-21.625, -42.125
-21.625, -41.875
-21.625, -41.625
-21.625, -41.375
-21.625, -41.125
-21.375, -58.875
-21.375, -58.625
-21.375, -58.375
-21.375, -58.125
-21.375, -57.875
-21.375, -57.625
-21.375, -57.125
-21.375, -56.875
-21.375, -56.625
-21.375, -56.375
-21.375, -56.125
-21.375, -55.875
-21.375, -55.625
-21.375, -55.375
-21.375, -55.125
-21.375, -54.875
-21.375, -54.625
-21.375, -54.375
-21.375, -54.125
-21.375, -53.875
-21.375, -53.625
-21.375, -53.375
-21.375, -53.125
-21.375, -52.875
-21.375, -52.625
-21.375, -52.375
-21.375, -52.125
-21.375, -51.875
-21.375, -51.625
-21.375, -51.375
-21.375, -51.125
-21.375, -50.875
-21.375, -50.625
-21.375, -50.375
-21.375, -50.125
-21.375, -49.875
-21.375, -49.625
-21.375, -49.375
-21.375, -49.125
-21.375, -48.875
-21.375, -48.625
-21.375, -48.375
-21.375, -48.125
-21.375, -47.875
-21.375, -47.625
-21.375, -47.375
-21.375, -47.125
-21.375, -46.875
-21.375, -46.625
-21.375, -46.375
-21.375, -46.125
-21.375, -45.875
-21.375, -45.625
-21.375, -45.375
-21.375, -45.125
-21.375, -44.875
-21.375, -44.625
-21.375, -44.375
-21.375, -44.125
